name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps,ncaa_conf,ncaa_pos,ncaa_exp,ncaa_height,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_fg_pct,ncaa_two_pct,ncaa_three_pct,ncaa_ft_pct,ncaa_oreb,ncaa_dreb,ncaa_rpg,ncaa_apg,ncaa_ast_to,ncaa_spg,ncaa_bpg,ncaa_tpg,ncaa_ortg,ncaa_adj_oe,ncaa_drtg,ncaa_porpag,ncaa_dporpag,ncaa_bpm,ncaa_obpm,ncaa_dbpm,ncaa_usage,birth_date,draft_age
frank ntilikina,2017,8.0,,SIG Strasbourg (France),Other Team/Club,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-07-28,18.902
dennis smith,2017,9.0,,North Carolina State,College/University,DAL,,,,,,,,,,,,,,,ACC,Scoring PG,Fr,6-3,32.0,34.8125,18.125,0.481900452488688,0.509,0.359,0.715,0.8125,3.75,4.562499999999999,6.1562,1.82405924,1.9375,0.4375,3.3750000356348093,109.5,126.326,107.928,4.72173,3.14567,6.00404,5.32612,0.677925,28.2,1997-11-25,19.573
zach collins,2017,10.0,PF-C,Gonzaga,College/University,SAC,82.25,84.0,232.2,85.0,111.0,8.9,8.75,9.25,,,,,,,WCC,C,Fr,7-0,39.0,17.230800000000002,10.0,0.670995670995671,0.6719999999999999,0.476,0.743,1.6923,4.2051,5.897399999999999,0.4103,0.26668833,0.4615,1.7692,1.5385000161049398,120.6,131.08200000000002,79.0742,2.63966,3.09468,9.97812,4.31375,5.664369999999999,24.8,1997-11-19,19.589
malik monk,2017,11.0,,Kentucky,College/University,CHA,,,,,,,,,,,,,,,SEC,Combo G,Fr,6-3,38.0,32.0526,19.8421,0.469283276450512,0.497,0.397,0.8220000000000001,0.3158,2.1842,2.5,2.2895000000000003,1.1447500000000002,0.9474,0.5,2.0,115.7,130.15800000000002,99.91360000000002,4.7918400000000005,3.86031,7.925409999999999,6.14589,1.7795199999999998,25.1,1998-02-04,19.379
luke kennard,2017,12.0,SG-SF,Duke,College/University,DET,76.5,77.5,196.2,77.25,98.5,6.6,8.0,8.75,,,,,,,ACC,Wing G,So,6-6,37.0,35.5135,19.5135,0.4918032786885249,0.525,0.438,0.8560000000000001,1.1622,3.9189,5.0811,2.4595,1.54239316,0.8378000000000001,0.3514,1.59459991381186,127.3,140.07899999999998,103.155,6.5492300000000006,4.04067,9.39706,8.063440000000002,1.3336199999999998,23.0,1996-06-24,20.994
donovan mitchell,2017,13.0,SG,Louisville,College/University,DEN,73.25,75.0,211.4,82.0,97.0,5.9,8.5,9.5,36.5,40.5,11.53,3.07,3.01,10.0,ACC,Combo G,So,6-3,34.0,32.29410000000001,15.5588,0.415754923413567,0.463,0.354,0.806,1.0882,3.7647,4.852899999999999,2.7353,1.66067641,2.0588,0.5,1.6470999308047,114.4,125.688,93.2413,4.311109999999999,4.74913,10.1032,5.392519999999999,4.7107,23.3,1996-09-07,20.789
bam adebayo,2017,14.0,PF-C,Kentucky,College/University,MIA,80.75,75.75,242.6,86.75,108.0,5.2,9.5,8.75,33.5,38.5,11.94,3.24,3.24,12.0,SEC,C,Fr,6-10,38.0,30.1316,13.0,0.6915167095115677,0.601,0.0,0.653,3.1053,4.894699999999999,8.0,0.8421000000000001,0.5,0.6841999999999999,1.5,1.6842,118.4,123.847,94.9632,3.84685,4.114879999999999,6.89197,3.9336,2.95837,19.2,1997-07-18,19.929
justin jackson,2017,15.0,SF,North Carolina,College/University,POR,79.0,80.25,200.8,83.0,104.5,8.1,8.75,9.25,29.5,35.5,10.8,3.06,3.3,,ACC,Wing F,Jr,6-8,39.0,32.0,18.275,0.454090150250417,0.51,0.368,0.748,1.45,3.2,4.65,2.825,1.63768116,0.775,0.225,1.7249999993893796,119.2,132.578,101.543,5.08049,3.89272,8.89179,7.38876,1.50303,23.9,1995-03-28,22.237
justin patton,2017,16.0,C,Creighton,College/University,CHI,82.0,83.25,229.0,87.0,111.5,7.8,8.75,9.75,26.0,30.5,11.8,3.31,3.46,,BE,PF/C,Fr,7-0,34.0,25.285699999999995,12.9429,0.7372881355932199,0.6839999999999999,0.5710000000000001,0.518,1.6857,4.5429,6.2286,1.1714,0.6833109299999999,0.8571000000000001,1.4286,1.7143001063952,117.1,123.512,95.91660000000002,3.23666,3.41481,7.59594,3.723980000000001,3.87195,21.1,1997-06-14,20.022
d j wilson,2017,17.0,PF,Michigan,College/University,MIL,80.75,82.5,234.4,87.0,109.5,6.4,9.25,10.25,,,,,,,B10,Stretch 4,So,6-10,38.0,30.3947,11.0263,0.588921282798834,0.631,0.373,0.8330000000000001,1.5,3.8421,5.342099999999999,1.3158,1.19044604,0.5,1.5,1.1052999932697498,122.3,125.581,102.055,4.0363500000000005,3.41578,7.04259,4.989520000000001,2.05308,18.1,1996-02-19,21.339
t j leaf,2017,18.0,PF,California-Los Angeles,College/University,IND,80.75,81.75,222.2,83.0,107.0,6.8,8.5,9.5,29.0,34.5,11.55,3.27,3.27,6.0,P12,PF/C,Fr,6-10,35.0,29.9429,16.2571,0.665903890160183,0.644,0.466,0.6789999999999999,2.2286,5.971400000000001,8.2,2.4286,1.63465037,0.6286,1.1143,1.48569996653168,128.2,134.409,100.313,4.93283,3.39093,7.577129999999999,6.05746,1.51967,21.5,1997-04-30,20.145
john collins,2017,19.0,PF,Wake Forest,College/University,ATL,80.25,81.5,225.2,83.25,106.5,5.4,9.0,10.0,33.0,37.5,11.66,3.27,3.27,15.0,ACC,C,So,6-10,33.0,26.6061,19.1515,0.6689497716894981,0.624,0.0,0.745,3.7576,6.0606,9.8182,0.5152,0.27871248,0.6364,1.5758,1.84849993082477,124.8,146.0,103.87,5.453220000000001,2.94366,9.244869999999995,9.030169999999998,0.214696,29.2,1997-09-23,19.745
harry giles,2017,20.0,PF,Duke,College/University,POR,81.25,82.5,232.0,87.25,109.5,5.2,9.5,10.75,27.0,32.5,11.08,3.0,3.34,5.0,ACC,C,Fr,6-10,26.0,11.5,3.9231,0.631578947368421,0.5770000000000001,0.0,0.5,1.5769,2.2692,3.8462,0.3461999999999999,0.5000721899999999,0.3461999999999999,0.6538,0.6923000457193988,112.6,119.553,95.4631,1.30167,1.66791,3.14265,0.9526950000000002,2.18995,19.2,1998-04-22,19.168
terrance ferguson,2017,21.0,SG-SF,Adelaide 36ers (Australia),Other Team/Club,OKC,77.5,79.0,184.4,80.75,103.0,5.8,8.5,10.0,28.5,38.0,11.16,3.22,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-05-17,19.099
jarrett allen,2017,22.0,C,Texas,College/University,BKN,81.0,82.25,233.6,89.25,109.5,7.4,9.5,10.5,31.5,35.5,11.82,3.0,3.21,4.0,B12,C,Fr,6-11,33.0,32.1515,13.3939,0.615384615384615,0.5790000000000001,0.0,0.5640000000000001,3.0303,5.3939,8.424199999999999,0.7878999999999999,0.3095266,0.5758000000000001,1.5455,2.54550012826038,101.9,111.823,99.0269,2.77687,4.198,4.150169999999999,2.13467,2.01551,22.9,1998-04-21,19.17
og anunoby,2017,23.0,SF,Indiana,College/University,TOR,78.25,79.75,232.4,86.25,107.5,6.8,9.25,9.5,,,,,,,B10,Wing F,So,6-8,16.0,25.125,11.062500000000002,0.629139072847682,0.701,0.311,0.5630000000000001,1.75,3.6875,5.4375,1.4374999999999998,0.88461538,1.3125,1.3125,1.62500000847826,115.6,118.77,98.5464,2.73289,2.89972,7.84486,4.83015,3.0147,20.5,1997-07-17,19.932
tyler lydon,2017,24.0,PF,Syracuse,College/University,UTA,80.25,81.5,215.0,84.0,107.5,13.6,8.75,8.75,29.5,33.5,11.68,2.81,3.46,1.0,ACC,Stretch 4,So,6-9,34.0,36.0882,13.1765,0.5057471264367821,0.523,0.392,0.8360000000000001,2.3235,6.323499999999999,8.647099999999998,2.0588,1.1864231200000002,1.0294,1.4411999999999998,1.73529996617059,118.4,120.652,101.689,4.19162,4.00861,5.96957,4.3122,1.65737,18.0,1996-04-09,21.202
anzejs pasecniks,2017,25.0,,CB Gran Canaria (Spain),Other Team/Club,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-12-20,21.506
caleb swanigan,2017,26.0,PF,Purdue,College/University,POR,79.5,80.5,245.6,87.0,108.0,,9.5,10.25,,,,,,,B10,PF/C,So,6-9,35.0,32.5429,18.4571,0.5464852607709749,0.548,0.447,0.7809999999999999,2.7429,9.714299999999998,12.4571,3.0286,0.89832113,0.4286,0.8,3.37140015842664,112.9,130.66899999999998,91.6952,4.88645,4.711250000000001,8.466630000000002,5.52616,2.94046,28.5,1997-04-18,20.178
kyle kuzma,2017,27.0,SF-SG,Utah,College/University,BKN,80.0,81.5,222.6,84.25,107.5,9.4,8.5,9.5,27.0,34.0,10.72,2.98,3.25,12.0,P12,PF/C,Jr,6-9,27.0,30.8276,16.413800000000002,0.520231213872832,0.557,0.321,0.6689999999999999,2.7931000000000004,6.5517,9.3448,2.4483,1.14518909,0.6207,0.4828,2.1379002134922502,112.8,125.288,98.7643,4.11232,3.45396,5.46892,5.165789999999999,0.303122,26.7,1995-07-24,21.914
tony bradley,2017,28.0,C,North Carolina,College/University,LAL,81.25,82.75,248.8,89.0,112.5,12.0,9.5,9.5,24.5,27.5,11.79,2.99,3.44,5.0,ACC,C,Fr,6-11,37.0,14.6053,7.0789,0.594871794871795,0.5640000000000001,0.0,0.616,2.5789,2.5525999999999995,5.131600000000001,0.6053,0.92004869,0.2632,0.5789000000000001,0.657899963968211,123.3,133.07399999999998,96.9021,2.31591,1.96324,6.86932,5.135079999999999,1.73424,21.4,1998-01-08,19.452
derrick white,2017,29.0,PG,Colorado,College/University,SAS,75.25,76.5,189.8,79.5,101.5,6.2,8.25,8.5,31.0,36.5,10.84,2.92,3.08,10.0,P12,Scoring PG,Sr,6-5,33.0,32.8235,18.0882,0.518427518427518,0.5700000000000001,0.401,0.805,1.0294,3.0588,4.0882000000000005,4.352899999999999,1.8271071,1.2352999999999998,1.4411999999999998,2.3824000246072097,121.1,133.944,103.201,5.32304,3.29774,11.7116,8.840819999999999,2.87083,25.9,1994-07-02,22.973
josh hart,2017,30.0,SG-SF,Villanova,College/University,UTA,75.75,77.0,209.2,80.25,101.0,5.8,8.5,9.5,27.5,35.5,11.15,3.02,3.18,9.0,BE,Wing G,Sr,6-5,36.0,33.166700000000006,18.6944,0.5289256198347111,0.5790000000000001,0.404,0.747,1.4166999999999998,4.972200000000001,6.3889,2.9444,1.49295204,1.5556,0.2778,1.9721999910995096,122.3,139.82500000000002,93.5948,6.08723,4.64604,10.8788,7.663099999999999,3.2157,27.1,1995-03-06,22.297
frank jackson,2017,31.0,PG,Duke,College/University,CHA,74.0,75.5,201.6,79.5,98.0,6.7,8.25,9.0,34.5,42.0,10.94,2.7,3.14,9.0,ACC,Combo G,Fr,6-3,36.0,24.8889,10.9444,0.480701754385965,0.539,0.395,0.755,0.6389,1.8611,2.5,1.6944,1.24487547,0.5556000000000001,0.0556,1.3610999982190997,116.4,124.45,105.15,3.2400800000000003,2.71476,4.00637,3.37386,0.6325109999999999,20.4,1998-05-04,19.135
davon reed,2017,32.0,SG-SF,Miami (FL),College/University,PHX,76.5,77.5,206.2,84.0,102.0,6.5,9.25,9.5,28.5,36.0,11.37,3.21,3.34,12.0,ACC,Wing G,Sr,6-6,33.0,35.303,14.8788,0.443864229765013,0.474,0.397,0.8330000000000001,0.8485,3.9394,4.7879,2.4242,1.1940108200000004,1.303,0.4848,2.03029985942673,113.8,120.634,99.4324,4.11276,4.400650000000001,7.530909999999999,4.87762,2.65329,21.3,1995-06-11,22.031
wes iwundu,2017,33.0,SG-SF,Kansas State,College/University,ORL,77.5,78.75,193.4,85.0,105.5,4.0,8.75,9.5,31.5,36.0,11.25,3.23,3.36,5.0,B12,Wing G,Sr,6-7,35.0,31.3714,13.0286,0.492447129909366,0.52,0.376,0.767,1.0286,5.2857,6.314299999999999,3.4571,1.4937993499999995,1.0,0.3429,2.3143001099846496,110.5,120.605,98.9906,3.65243,3.8789,6.608099999999999,4.37316,2.23494,22.6,1994-12-20,22.505
frank mason,2017,34.0,PG,Kansas,College/University,SAC,71.0,72.0,188.8,75.25,94.0,4.3,8.0,9.25,34.0,41.0,11.41,3.09,3.18,15.0,B12,Scoring PG,Sr,5-11,36.0,36.13890000000001,20.9167,0.490872210953347,0.5,0.471,0.7939999999999999,0.6111,3.5556,4.1667,5.194399999999999,2.1743897800000003,1.3056,0.0556,2.3889001170710102,125.2,142.784,102.695,6.931560000000001,4.117749999999999,10.0958,8.05776,2.03808,25.5,1994-04-03,23.22
ivan rabb,2017,35.0,PF,California,College/University,ORL,80.75,82.0,219.6,85.5,109.0,6.8,8.75,9.0,28.5,32.5,12.68,3.23,3.35,3.0,P12,PF/C,So,6-11,31.0,32.6452,14.0,0.5149700598802389,0.49,0.4,0.6629999999999999,3.0323,7.451600000000001,10.4839,1.5484,0.71642071,0.6773999999999999,1.0,2.16129988760375,106.2,115.91400000000002,90.5229,3.2436100000000003,4.67577,5.29345,2.51827,2.77518,24.2,1997-02-04,20.378
jonah bolden,2017,36.0,,Red Star Belgrade (Serbia),Other Team/Club,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-01-02,21.47
semi ojeleye,2017,37.0,SF-SG,Southern Methodist,College/University,BOS,77.25,78.75,241.4,81.75,102.0,5.5,8.75,9.5,35.0,40.5,10.58,3.07,3.16,19.0,Amer,Wing F,Jr,6-7,35.0,34.142900000000004,19.0,0.511827956989247,0.529,0.424,0.7849999999999999,2.2857000000000003,4.571400000000001,6.857099999999999,1.5143,1.05998883,0.4286,0.4,1.4285999598693897,127.5,139.791,97.0548,6.26239,3.99167,8.444269999999998,7.8568,0.5874649999999999,24.5,1994-12-05,22.546
jordan bell,2017,38.0,PF,Oregon,College/University,CHI,79.0,80.5,223.6,83.75,104.5,5.4,9.25,9.5,31.5,38.0,10.63,2.83,3.21,16.0,P12,C,Jr,6-9,38.0,28.8205,10.9487,0.6832298136645962,0.6609999999999999,0.154,0.694,2.8717999999999995,5.897399999999999,8.7692,1.7949,0.93333677,1.2564,2.2564,1.9231000617279896,119.9,123.503,88.85289999999999,3.68127,4.45854,9.83705,5.05442,4.78263,19.2,1995-01-07,22.456
jawun evans,2017,39.0,PG,Oklahoma State,College/University,PHI,70.75,71.5,185.2,77.5,95.0,9.1,8.0,7.75,27.5,33.5,11.34,3.26,3.21,1.0,B12,Pure PG,So,6-1,31.0,29.1875,19.1562,0.437768240343348,0.453,0.376,0.806,0.75,2.6875000000000004,3.4375,6.375,2.26666667,1.7812,0.125,2.8124999958639694,116.1,144.967,107.648,5.88535,2.90112,8.562990000000001,8.06424,0.4987449999999999,33.3,1996-07-26,20.906
dwayne bacon,2017,40.0,SG-SF,Florida State,College/University,NOP,76.75,78.25,221.6,82.0,103.5,7.9,8.75,10.0,30.0,36.5,11.7,3.22,3.22,8.0,ACC,Wing G,So,6-7,35.0,28.8,17.228599999999997,0.4718446601941751,0.516,0.3329999999999999,0.754,1.0,3.2,4.2,1.7429,0.85916397,1.0,0.1143,2.0285999656154106,108.4,122.81,102.343,3.5853300000000004,3.33395,4.75307,4.33702,0.416045,27.4,1995-08-30,21.812
tyler dorsey,2017,41.0,SG,Oregon,College/University,ATL,75.0,76.5,182.6,77.25,99.5,4.7,8.5,9.25,30.5,36.0,10.55,2.98,3.16,8.0,P12,Wing G,So,6-4,38.0,29.9744,14.640999999999998,0.472636815920398,0.51,0.424,0.752,0.8462000000000001,2.6154,3.4615,1.7178999999999998,1.13557646,0.7692,0.1026,1.51279993951266,117.7,124.918,100.81,3.97575,3.4437200000000003,5.55197,4.843109999999999,0.708854,21.5,1996-02-18,21.342
thomas bryant,2017,42.0,PF-C,Indiana,College/University,UTA,81.5,82.75,247.8,90.0,112.5,9.4,9.5,10.25,25.5,33.0,11.42,3.12,3.37,7.0,B10,PF/C,So,6-10,34.0,28.0588,12.5588,0.5727554179566561,0.556,0.383,0.73,2.2353,4.4118,6.647099999999999,1.4706,0.64103569,0.7647,1.5294,2.29410003677018,112.0,120.008,100.983,3.15081,3.1339,5.3531,3.33555,2.01755,22.3,1997-07-31,19.893
isaiah hartenstein,2017,43.0,,BC Zalgiris (Lithuania),Other Team/Club,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-05-05,19.132
damyean dotson,2017,44.0,SG-SF,Houston,College/University,NYK,76.5,77.5,205.2,81.0,100.0,5.3,8.5,9.25,31.5,38.0,11.18,3.03,3.13,13.0,Amer,Wing F,Sr,6-5,32.0,34.0606,17.4545,0.4782608695652171,0.505,0.443,0.8300000000000001,1.5455,5.2727,6.8182,1.0909,1.0285686399999998,0.9091,0.1515,1.06060009762693,125.7,131.371,97.3145,5.270390000000001,3.92325,9.07424,8.113369999999998,0.960869,21.2,1994-05-06,23.129
dillon brooks,2017,45.0,SG-SF,Oregon,College/University,HOU,77.0,78.0,220.2,78.0,100.5,7.5,8.25,9.25,31.0,37.5,11.14,3.24,3.21,16.0,P12,Wing G,Jr,6-7,34.0,25.314300000000003,16.114300000000004,0.496420047732697,0.526,0.404,0.744,1.0,2.2286,3.2286,2.7143,1.3194788,1.0857,0.4571,2.0571001216541,113.3,132.778,97.49120000000002,4.0417000000000005,3.2099100000000003,7.842909999999999,5.829979999999999,2.01293,30.1,1996-01-22,21.415
sterling brown,2017,46.0,,Southern Methodist,College/University,PHI,,,,,,,,,,,,,,,Amer,Wing G,Sr,6-6,35.0,32.6571,13.4286,0.466666666666667,0.465,0.449,0.7909999999999999,1.5714,4.9143,6.4857000000000005,3.0,1.54408363,1.4286,0.5429,1.9428999451279696,117.6,124.416,91.236,4.24749,4.46505,8.01945,4.4890300000000005,3.53042,21.6,1995-02-10,22.363
ike anigbogu,2017,47.0,C,California-Los Angeles,College/University,IND,80.5,81.75,252.2,90.25,110.5,5.4,9.5,10.0,29.5,32.5,12.52,3.48,3.44,11.0,P12,C,Fr,6-10,29.0,13.0,4.724099999999999,0.62015503875969,0.5640000000000001,0.0,0.535,1.4137999999999995,2.6207000000000003,4.0345,0.2069,0.25,0.1724,1.2069,0.8276000000000001,106.1,108.613,97.6021,0.977968,1.6455,-0.3710589999999999,-2.08023,1.70917,18.7,1998-10-16,18.683
sindarius thornwell,2017,48.0,SG-SF,South Carolina,College/University,MIL,75.5,76.75,211.6,82.0,103.0,7.8,8.75,8.75,27.0,30.5,11.48,3.03,3.36,15.0,SEC,Wing G,Sr,6-5,32.0,32.9062,20.7188,0.453333333333333,0.471,0.392,0.8300000000000001,2.4062,4.5,6.906200000000001,2.6875000000000004,1.13157895,2.0625,0.9375,2.3749999944767395,118.2,140.45600000000002,88.3804,5.99432,5.14704,15.8998,10.379,5.52079,29.2,1994-11-15,22.601
vlatko cancar,2017,49.0,,KK Mega Leks (Serbia),Other Team/Club,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-04-10,20.2
mathias lessort,2017,50.0,,Nanterre 92 (France),Other Team/Club,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monte morris,2017,51.0,PG,Iowa State,College/University,DEN,73.25,74.5,175.2,76.0,96.5,6.9,8.25,8.75,28.0,33.5,11.0,3.2,3.19,8.0,B12,Scoring PG,Sr,6-3,35.0,35.3429,16.428599999999996,0.466809421841542,0.503,0.378,0.802,1.1429,3.6857,4.8286,6.2,5.1666663,1.5143,0.2857,1.2000000851613,124.2,137.89600000000002,101.974,6.14037,4.13237,9.47688,7.19907,2.2778,23.8,1995-06-27,21.988
edmond sumner,2017,52.0,PG,Xavier,College/University,NOP,76.0,77.75,176.4,81.0,102.5,8.3,8.25,9.0,,,,,,,BE,Scoring PG,So,6-6,21.0,33.142900000000004,14.952400000000004,0.5088495575221241,0.533,0.273,0.735,0.5238,3.8095,4.3333,5.0,1.81034798,1.2856999999999998,0.7619,2.761899952516311,110.2,122.477,103.093,4.06356,3.58036,7.63958,4.67874,2.96084,24.8,1995-12-31,21.476
kadeem allen,2017,53.0,PG,Arizona,College/University,BOS,73.0,74.25,192.4,81.25,99.5,6.4,8.5,8.75,33.0,35.5,11.24,2.98,3.15,7.0,P12,Combo G,Sr,6-3,34.0,30.0,9.7647,0.4625,0.466,0.427,0.741,0.3529,3.6765,4.0294,2.9706,1.5538235399999998,1.5588,0.6176,1.91180010054424,108.5,110.513,95.0827,2.4546,4.00389,6.35,1.90101,4.44899,18.4,1993-01-15,24.433
alec peters,2017,54.0,PF,Valparaiso,College/University,PHX,79.25,80.75,232.0,82.75,105.0,8.8,8.75,10.0,,,,,,,Horz,Stretch 4,Sr,6-9,28.0,35.1379,22.965499999999995,0.470982142857143,0.514,0.369,0.888,2.5517,7.5517,10.1034,2.2069,0.90140097,0.7930999999999999,0.3793,2.44830000571222,117.8,130.94,96.3548,5.318909999999999,3.8043,7.68101,7.271590000000001,0.409418,29.5,1995-04-13,22.193
nigel williams goss,2017,55.0,PG,Gonzaga,College/University,UTA,73.5,75.0,190.2,79.25,99.0,5.6,8.75,9.25,27.5,34.5,10.42,3.08,3.19,10.0,WCC,Combo G,Jr,6-3,38.0,32.6579,16.8421,0.491266375545852,0.527,0.368,0.8670000000000001,0.5789000000000001,5.394699999999999,5.973700000000001,4.7105,2.1829091,1.6842,0.0789,2.1579002075716307,119.3,129.811,85.8129,4.85906,5.121499999999999,10.3435,5.571750000000001,4.771770000000001,24.9,1994-09-16,22.765
jabari bird,2017,56.0,,California,College/University,BOS,,,,,,,,,,,,,,,P12,Wing G,Sr,6-6,27.0,31.963,14.3333,0.467455621301775,0.536,0.365,0.764,0.963,3.7407,4.7037,1.037,0.5599654100000001,0.6667,0.2222,1.85190010218667,107.0,113.069,96.9727,2.8721499999999995,4.031160000000001,5.079820000000001,3.44276,1.63706,21.6,1994-07-03,22.971
sasha vezenkov,2017,57.0,,FC Barcelona Basquet (Spain),Other Team/Club,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-08-06,21.878
ognjen jaramaz,2017,58.0,,KK Mega Leks (Serbia),Other Team/Club,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaron blossomgame,2017,59.0,SF,Clemson,College/University,SAS,77.75,78.75,218.6,82.0,104.5,5.7,8.75,10.25,31.0,35.5,11.47,3.35,3.17,16.0,ACC,Wing F,Sr,6-7,33.0,34.3333,17.697000000000003,0.5381443298969069,0.5650000000000001,0.255,0.714,1.7878999999999998,4.4848,6.2727,1.5455,0.92728148,0.8182,0.9091,1.6666999539341598,113.0,125.553,105.976,4.583660000000001,3.5483100000000003,5.53709,4.9712200000000015,0.5658690000000001,24.8,1993-09-16,23.765
alpha kaba,2017,60.0,,KK Mega Leks (Serbia),Other Team/Club,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cameron oliver,2017,999.0,PF,Nevada,College/University,,79.0,80.25,238.6,85.25,106.5,7.7,9.5,10.25,28.0,39.5,12.17,3.31,3.16,5.0,MWC,PF/C,So,6-8,35.0,31.857100000000003,16.0,0.510373443983402,0.519,0.384,0.692,1.6286,7.057099999999999,8.6857,1.8286,0.77110566,0.8286000000000001,2.6,2.3714000491190794,105.9,113.897,93.7059,2.97006,3.91017,5.749860000000001,3.03401,2.71585,24.2,1996-07-11,20.947
chris boucher,2017,999.0,PF,Oregon,College/University,,80.0,81.5,182.2,88.0,110.5,5.4,9.25,10.5,,,,,,,P12,PF/C,Sr,6-10,30.0,23.5484,11.806500000000002,0.5974440894568689,0.633,0.347,0.5660000000000001,1.7418999999999998,4.3226,6.064499999999999,0.4194,0.40627725,0.3871,2.5484,1.0322999872623897,115.5,122.307,91.5365,2.88884,3.3362799999999995,6.9590700000000005,3.743430000000001,3.21564,21.8,1993-01-11,24.444
derrick walton,2017,999.0,PG,Michigan,College/University,,71.0,72.75,188.6,74.5,95.0,5.8,8.0,8.5,26.0,32.5,11.28,3.12,3.29,9.0,B10,Scoring PG,Sr,6-1,38.0,34.8158,15.5,0.4362244897959181,0.456,0.422,0.8760000000000001,0.4474,4.342099999999999,4.7895,4.973700000000001,2.86371498,1.1316,0.0263,1.7367999380999897,125.8,139.13299999999998,103.028,6.24465,3.80293,9.52344,7.751260000000001,1.77218,23.8,1995-04-03,22.22
devin robinson,2017,999.0,SF,Florida,College/University,,79.0,80.25,189.6,84.75,106.0,3.2,9.25,10.25,35.5,41.5,12.85,3.61,3.23,10.0,SEC,Stretch 4,Jr,6-8,36.0,26.4444,11.1111,0.513595166163142,0.524,0.391,0.723,1.7222,4.3889,6.1111,0.6389,0.58977198,0.8611000000000001,0.8056000000000001,1.0833000238499,115.9,122.652,92.6266,3.2438,3.74997,7.63672,4.4039,3.23282,19.1,1995-03-07,22.294
hamidou diallo,2017,999.0,SG-SF,,,,75.75,77.0,197.4,83.25,101.5,5.2,8.5,9.5,34.5,44.5,10.88,2.79,3.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-07-31,18.894
isaiah briscoe,2017,999.0,PG,Kentucky,College/University,,73.25,74.75,222.4,81.0,99.5,11.0,9.0,9.25,28.0,33.5,10.95,2.85,3.38,11.0,SEC,Combo G,So,6-3,36.0,30.4167,12.138899999999998,0.471264367816092,0.507,0.288,0.635,1.4722,3.9444,5.4167000000000005,4.2222,1.7078715599999998,0.8333,0.1944,2.47219995864326,105.1,114.84,98.0786,2.93521,3.89406,4.67464,2.35814,2.31651,22.3,1996-04-13,21.191
isaiah hicks,2017,999.0,PF,North Carolina,College/University,,79.25,80.5,233.4,84.5,105.0,7.7,8.75,9.75,31.5,37.0,12.31,3.31,3.36,11.0,ACC,C,Sr,6-9,38.0,23.2564,11.8205,0.625368731563422,0.5720000000000001,0.0,0.7809999999999999,1.8462,3.6154,5.4615,1.4103,0.8594149799999999,0.4103,0.7436,1.64100002073504,118.2,127.63,98.2231,3.25957,3.03024,6.21435,3.02848,3.18587,21.5,1994-07-24,22.913
j beachem,2017,999.0,SG-SF,Notre Dame,College/University,,78.25,80.0,193.4,82.25,104.5,6.8,8.5,9.0,30.0,37.0,11.18,3.19,3.26,11.0,ACC,Wing F,Sr,6-8,36.0,34.13890000000001,14.5,0.4430107526881719,0.495,0.361,0.8360000000000001,0.6389,3.4167,4.0556,0.8611000000000001,0.7749978000000001,0.9167,1.0556,1.11109992828367,107.7,113.398,103.904,3.12422,3.66194,4.37373,3.45042,0.923313,19.9,,
jamel artis,2017,999.0,SG-SF,Pittsburgh,College/University,,77.5,78.75,213.2,82.0,105.0,11.9,9.25,9.75,23.5,31.0,11.62,3.08,3.44,5.0,ACC,Wing G,Sr,6-7,32.0,34.3125,18.1875,0.4771084337349401,0.545,0.392,0.734,1.25,3.625,4.875,3.3125,1.27708378,0.4062,0.2812,2.5938000715975003,111.9,128.303,112.167,4.8499,2.92715,5.126899999999999,5.913250000000001,-0.7863399999999999,26.7,1993-01-12,24.441
