name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps,ncaa_conf,ncaa_pos,ncaa_exp,ncaa_height,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_fg_pct,ncaa_two_pct,ncaa_three_pct,ncaa_ft_pct,ncaa_oreb,ncaa_dreb,ncaa_rpg,ncaa_apg,ncaa_ast_to,ncaa_spg,ncaa_bpg,ncaa_tpg,ncaa_ortg,ncaa_adj_oe,ncaa_drtg,ncaa_porpag,ncaa_dporpag,ncaa_bpm,ncaa_obpm,ncaa_dbpm,ncaa_usage,birth_date,draft_age
brian cardinal,2000,44.0,,Purdue,College/University,DET,,,,,,,,,,,,,,,Big Ten,,,,32.0,29.5,13.9,0.411,0.455,0.339,0.769,,,6.3,2.2,,2.0,0.3,2.3,,,,,,,,,,1977-05-02,23.157
jabari smith,2000,45.0,PF-C,Louisiana State,College/University,SAC,81.75,,240.5,86.5,109.5,,,,24.5,30.0,12.45,,3.43,15.0,SEC,,,,34.0,28.5,12.5,0.553,0.579,0.371,0.595,,,7.0,2.2,,0.7,1.0,2.6,,,,,,,,,,1977-02-12,23.373
deeandre hulett,2000,46.0,,Las Vegas Silver Bandits (IBL),Other Team/Club,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980-12-29,19.496
josip sesar,2000,47.0,,KK Cibona (Croatia),Other Team/Club,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-01-17,22.445
mark karcher,2000,48.0,SG,Temple,College/University,PHI,76.0,,218.0,80.0,102.5,,,,27.5,30.5,11.51,,3.4,12.0,A-10,,,,32.0,31.9,15.8,0.378,0.407,0.349,0.569,,,4.6,2.2,,1.8,0.2,2.0,,,,,,,,,,1978-11-22,21.599
jason hart,2000,49.0,PG,Syracuse,College/University,MIL,73.75,,181.0,78.0,97.5,,,,29.5,33.5,11.7,,3.34,9.0,Big East,,,,32.0,33.8,11.9,0.411,0.46,0.33,0.734,,,3.0,6.5,,1.8,0.1,3.5,,,,,,,,,,1978-04-29,22.166
kaniel dickens,2000,50.0,,Idaho,College/University,UTA,,,,,,,,,,,,,,,Big West,,,,29.0,27.4,12.1,0.486,0.502,0.382,0.638,,,6.6,0.9,,0.9,0.9,2.2,,,,,,,,,,1978-07-21,21.938
igor rakocevic,2000,51.0,PG,Red Star Belgrade (Serbia),Other Team/Club,MIN,74.5,,184.0,77.25,100.0,,,,27.5,34.0,10.4,,3.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-03-29,22.251
ernest brown,2000,52.0,C,Indian Hills Community College,College/University,MIA,82.0,,222.5,85.25,109.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979-05-17,21.117
dan mcclintock,2000,53.0,C-PF,Northern Arizona,College/University,DEN,83.0,,250.0,85.5,107.0,,,,33.0,35.0,11.52,,3.33,20.0,Big Sky,,,,31.0,24.3,15.6,0.597,0.597,,0.682,,,6.5,1.2,,0.4,2.3,1.8,,,,,,,,,,1977-04-19,23.192
cory hightower,2000,54.0,SG-SF,Indian Hills Community College,College/University,SAS,77.5,,183.0,83.0,101.5,,,,29.5,34.5,11.92,,3.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris porter,2000,55.0,SF-PF,Auburn,College/University,GSW,77.5,,214.0,81.5,103.5,,,,28.5,35.0,10.93,,3.2,6.0,SEC,,,,26.0,29.0,14.6,0.464,0.477,0.235,0.676,,,7.3,1.2,,2.0,0.3,2.1,,,,,,,,,,1978-05-09,22.138
jaquay walls,2000,56.0,PG,Colorado,College/University,IND,73.25,,165.5,74.5,96.5,,,,28.5,35.5,10.75,,3.23,0.0,Big 12,,,,32.0,30.8,17.0,0.441,0.474,0.388,0.754,,,3.2,4.5,,1.5,0.2,2.6,,,,,,,,,,1978-04-03,22.237
scoonie penn,2000,57.0,,Ohio State,College/University,ATL,,,,,,,,,,,,,,,Big Ten,,,,30.0,35.0,15.6,0.386,0.474,0.313,0.755,,,4.4,4.3,,2.2,0.1,2.6,,,,,,,,,,1977-01-09,23.466
pete mickeal,2000,58.0,SG-SF,Cincinnati,College/University,DAL,77.0,,222.0,81.5,103.5,,,,28.0,34.5,10.83,,3.06,8.0,CUSA,,,,32.0,31.3,13.5,0.504,0.545,0.35,0.723,,,6.3,1.8,,1.4,0.5,2.2,,,,,,,,,,1978-02-22,22.346
a j granger,2000,999.0,SF,Michigan St.,College/University,,79.5,,227.0,81.5,103.0,,,,30.0,34.0,10.73,,3.25,20.0,Big Ten,,,,39.0,28.8,9.5,0.5,0.538,0.45,0.893,,,5.3,1.2,,0.4,0.5,1.3,,,,,,,,,,,
alex scales,2000,999.0,SG-PG,Oregon,College/University,,74.25,,184.5,81.0,97.5,,,,38.5,42.5,10.98,,3.21,10.0,Pac-10,,,,30.0,32.0,16.3,0.455,0.536,0.338,0.78,,,4.3,2.5,,1.4,0.4,2.9,,,,,,,,,,1978-07-03,21.988
antonis fotsis,2000,999.0,SF,,,,81.25,,219.0,80.5,106.0,,,,27.0,30.0,11.6,,3.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-04-01,19.242
aubrey reese,2000,999.0,PG,Murray St.,College/University,,70.75,,189.0,77.5,94.5,,,,31.5,37.5,11.13,,3.25,14.0,OVC,,,,32.0,37.6,20.4,0.461,0.52,0.353,0.819,,,5.3,4.8,,1.9,0.2,3.8,,,,,,,,,,1978-10-13,21.708
bootsy thornton,2000,999.0,SG,St. John's (NY),College/University,,75.5,,194.5,78.5,101.5,,,,26.5,31.0,12.08,,3.33,7.0,Big East,,,,33.0,35.3,15.3,0.486,0.564,0.355,0.573,,,5.5,2.9,,2.4,0.3,1.9,,,,,,,,,,,
brandon kurtz,2000,999.0,PF-C,Tulsa,College/University,,81.5,,257.0,83.25,106.5,,,,,,,,,7.0,WAC,,,,37.0,27.0,11.2,0.513,0.526,0.231,0.669,,,7.0,1.6,,1.2,1.3,2.2,,,,,,,,,,,
brian montonati,2000,999.0,PF,Oklahoma St.,College/University,,80.75,,215.0,82.5,106.0,,,,25.0,29.0,11.85,,3.53,5.0,Big 12,,,,34.0,27.5,12.1,0.544,0.545,0.5,0.69,,,7.2,1.6,,1.4,0.6,1.8,,,,,,,,,,,
caswell cyrus,2000,999.0,PF,St. Bonaventure,College/University,,79.75,,220.5,86.0,107.5,,,,33.5,37.5,12.12,,3.16,18.0,A-10,,,,30.0,32.9,12.0,0.498,0.498,,0.617,,,6.6,0.6,,0.5,1.7,2.1,,,,,,,,,,,
ceedric goodwyn,2000,999.0,SF-PF,Colorado St.,College/University,,78.0,,238.0,82.0,104.5,,,,,,,,,,MWC,,,,30.0,27.5,17.8,0.513,0.541,0.42,0.699,,,4.5,2.5,,0.8,1.2,3.4,,,,,,,,,,,
damon reed,2000,999.0,PF-C,,,,80.5,,228.0,81.5,104.5,,,,27.5,31.5,11.21,,3.31,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed cota,2000,999.0,PG,UNC,College/University,,72.25,,189.0,76.0,96.5,,,,26.5,33.5,10.98,,3.24,1.0,ACC,,,,35.0,36.7,10.1,0.443,0.476,0.367,0.728,,,4.4,8.1,,1.1,0.1,3.3,,,,,,,,,,,
eddie gill,2000,999.0,PG,Weber St.,College/University,,71.75,,176.0,76.0,93.0,,,,35.0,38.5,11.12,,3.18,13.0,Big Sky,,,,28.0,36.0,16.3,0.394,0.415,0.366,0.861,,,6.4,6.9,,3.2,0.3,3.9,,,,,,,,,,1978-08-16,21.867
eric coley,2000,999.0,SG-SF,Tulsa,College/University,,76.0,,205.0,83.0,102.0,,,,35.0,38.0,11.4,,3.15,10.0,WAC,,,,37.0,29.5,11.3,0.524,0.584,0.204,0.568,,,6.8,3.4,,3.3,1.2,1.6,,,,,,,,,,,
gabe muoneke,2000,999.0,PF-SF,Texas,College/University,,78.25,,244.0,84.5,105.0,,,,30.5,34.0,11.0,,3.4,22.0,Big 12,,,,33.0,28.7,13.7,0.527,0.57,0.211,0.6,,,6.3,1.9,,0.9,0.6,2.9,,,,,,,,,,,
harold arceneaux,2000,999.0,SG-SF,Weber St.,College/University,,76.5,,219.0,80.5,103.0,,,,,29.0,13.8,,,0.0,Big Sky,,,,28.0,32.8,23.0,0.512,0.559,0.369,0.796,,,7.4,1.7,,1.4,0.9,2.6,,,,,,,,,,,
jacob jaacks,2000,999.0,PF,Iowa,College/University,,81.25,,238.0,83.0,105.5,,,,26.0,32.0,11.48,,3.58,3.0,Big Ten,,,,30.0,27.4,12.2,0.468,0.493,0.375,0.602,,,7.3,1.0,,0.3,0.4,2.5,,,,,,,,,,,
