person_id,birth_date,birth_date_source,raw_display_first_last
2780,1982-12-08,nba_api_commonplayerinfo,Christian Drejer
2781,,common_player_info_error:KeyError,
2782,1981-10-02,nba_api_commonplayerinfo,Matt Freije
2783,,common_player_info_error:KeyError,
2784,1981-04-11,nba_api_commonplayerinfo,Luis Flores
2785,,common_player_info_error:KeyError,
2786,,common_player_info_error:KeyError,
2787,1982-03-17,nba_api_commonplayerinfo,Rashad Wright
2798,1974-10-14,nba_api_commonplayerinfo,Horace Jenkins
2800,1979-10-22,nba_api_commonplayerinfo,Tony Bobbitt
2801,,common_player_info_error:KeyError,
2807,,common_player_info_error:KeyError,
2810,1981-05-12,nba_api_commonplayerinfo,Andre Brown
2822,,common_player_info_error:KeyError,
2823,1981-07-31,nba_api_commonplayerinfo,John Edwards
2824,1981-10-07,nba_api_commonplayerinfo,Desmon Farmer
2845,1982-04-01,nba_api_commonplayerinfo,Erik Daniels
2857,1982-02-21,nba_api_commonplayerinfo,Andre Barrett
2863,1980-01-11,nba_api_commonplayerinfo,Damien Wilkins
2865,,common_player_info_error:KeyError,
2866,1985-03-10,nba_api_commonplayerinfo,Jackie Butler
2876,1982-04-08,nba_api_commonplayerinfo,Jared Reiner
12000,,common_player_info_error:KeyError,
12001,,common_player_info_error:KeyError,
12002,,common_player_info_error:KeyError,
12003,,common_player_info_error:KeyError,
12004,,common_player_info_error:KeyError,
12005,,common_player_info_error:KeyError,
12006,,common_player_info_error:KeyError,
12007,,common_player_info_error:KeyError,
12009,,common_player_info_error:KeyError,
12010,,common_player_info_error:KeyError,
12011,,common_player_info_error:KeyError,
12012,,common_player_info_error:KeyError,
12014,,common_player_info_error:KeyError,
12016,,common_player_info_error:KeyError,
12017,,common_player_info_error:KeyError,
12018,,common_player_info_error:KeyError,
12019,,common_player_info_error:KeyError,
12020,,common_player_info_error:KeyError,
12021,,common_player_info_error:KeyError,
12022,,common_player_info_error:KeyError,
12023,,common_player_info_error:KeyError,
12024,,common_player_info_error:KeyError,
12025,,common_player_info_error:KeyError,
12026,,common_player_info_error:KeyError,
