name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps
dalen terry,2022,18,SG,Arizona State,College/University,CHI,78.0,79.25,195.2,84.75,106.0,5.4,8.5,9.0,,,,,,
jake laravia,2022,19,PF,Wake Forest,College/University,MIN,78.75,80.0,227.2,81.5,104.0,9.0,8.5,10.25,27.5,34.0,10.58,2.89,3.37,
malaki branham,2022,20,SG,Ohio State,College/University,SAS,76.0,77.5,194.8,82.0,102.5,6.1,8.5,9.75,29.0,35.0,11.38,3.09,3.17,
christian braun,2022,21,SG,Kansas,College/University,DEN,77.5,79.0,209.2,78.5,99.5,6.2,8.0,8.5,33.5,40.0,11.0,3.13,3.16,
walker kessler,2022,22,C,Auburn,College/University,MEM,84.25,85.0,256.0,88.25,113.0,14.7,8.5,8.5,,,,,,
david roddy,2022,23,PF,Colorado State,College/University,PHI,76.5,78.0,260.8,83.5,105.0,11.6,8.75,10.0,27.0,35.5,10.75,3.1,3.22,
marjon beauchamp,2022,24,SG,Ignite (G League),Other Team/Club,MIL,77.25,78.5,196.6,84.75,106.0,5.3,9.0,9.0,,,,,,
blake wesley,2022,25,SG,Notre Dame,College/University,SAS,75.0,76.25,187.2,81.25,103.0,5.6,8.25,9.0,30.0,36.0,11.55,3.25,3.21,
wendell moore,2022,26,SG,Duke,College/University,DAL,76.25,77.5,217.2,84.5,101.0,7.5,8.75,10.25,32.5,38.5,10.94,3.21,3.3,
nikola jovic,2022,27,SF,KK Mega Leks (Serbia),Other Team/Club,MIA,81.5,83.0,222.6,84.25,108.5,7.4,8.75,9.75,,,,,,
patrick baldwin,2022,28,SF,Wisconsin-Milwaukee,College/University,GSW,81.25,82.25,230.8,85.75,110.5,8.9,8.75,9.5,23.5,26.5,12.25,3.3,3.45,
tyty washington,2022,29,SG,Kentucky,College/University,MEM,74.25,75.75,196.4,80.0,99.5,12.0,8.5,9.25,,,,,,
