name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps
shawne williams,2006,17,SF-PF,Memphis,College/University,IND,79.25,80.75,227.0,87.0,104.0,8.0,,,32.0,31.0,10.69,,3.3,
oleksiy pecherov,2006,18,,Paris Basket Racing (France),Other Team/Club,WAS,,,,,,,,,,,,,,
quincy douby,2006,19,,Rutgers,College/University,SAC,,,,,,,,,,,,,,
renaldo balkman,2006,20,SF-PF,South Carolina,College/University,NYK,77.25,78.5,206.0,85.0,104.5,4.9,,,30.5,35.0,11.58,,3.22,9.0
rajon rondo,2006,21,,Kentucky,College/University,PHX,,,,,,,,,,,,,,
marcus williams,2006,22,PG,Connecticut,College/University,NJN,74.0,75.25,215.0,79.0,97.5,12.4,,,24.5,28.0,11.3,,3.4,4.0
josh boone,2006,23,,Connecticut,College/University,NJN,,,,,,,,,,,,,,
kyle lowry,2006,24,,Villanova,College/University,MEM,,,,,,,,,,,,,,
shannon brown,2006,25,,Michigan State,College/University,CLE,,,,,,,,,,,,,,
jordan farmar,2006,26,PG,California-Los Angeles,College/University,LAL,72.75,74.0,171.0,75.0,94.5,4.4,,,33.5,42.0,11.07,,3.17,11.0
sergio rodriguez,2006,27,,CB Estudiantes (Spain),Other Team/Club,PHX,,,,,,,,,,,,,,
maurice ager,2006,28,SG-PG,Michigan State,College/University,DAL,75.25,76.5,203.0,79.75,101.5,8.0,,,29.5,35.0,11.73,,3.22,11.0
mardy collins,2006,29,PG-SG,Temple,College/University,NYK,76.25,77.5,224.0,82.0,103.0,10.0,,,31.5,37.5,12.0,,3.27,9.0
joel freeland,2006,30,,CB Gran Canaria (Spain),Other Team/Club,POR,,,,,,,,,,,,,,
james white,2006,31,,Cincinnati,College/University,POR,,,,,,,,,,,,,,
steve novak,2006,32,SF,Marquette,College/University,HOU,80.0,81.25,216.0,81.5,103.0,8.1,,,24.5,31.0,11.11,,3.37,5.0
solomon jones,2006,33,PF-C,South Florida,College/University,ATL,80.5,81.75,224.0,88.75,109.0,7.4,,,32.0,39.0,11.27,,3.3,6.0
paul davis,2006,34,,Michigan State,College/University,LAC,,,,,,,,,,,,,,
p j tucker,2006,35,,Texas,College/University,TOR,,,,,,,,,,,,,,
craig smith,2006,36,PF,Boston College,College/University,MIN,77.5,78.5,259.0,81.5,103.5,12.2,,,30.0,29.5,11.59,,3.4,
bobby jones,2006,37,SF-SG,Washington,College/University,MIN,77.75,78.75,211.0,81.5,101.5,8.0,,,28.5,34.5,11.23,,3.28,15.0
kosta perovic,2006,38,,KK Partizan (Serbia),Other Team/Club,GSW,,,,,,,,,,,,,,
david noel,2006,39,SF-SG,North Carolina,College/University,MIL,76.5,78.0,223.0,81.5,100.0,6.1,,,34.5,38.5,10.54,,3.07,20.0
denham brown,2006,40,SG-SF,Connecticut,College/University,SEA,76.0,77.0,218.0,81.5,102.5,9.0,,,28.0,34.5,11.42,,3.25,12.0
james augustine,2006,41,PF,Illinois,College/University,ORL,80.25,81.75,227.0,84.25,104.0,5.5,,,30.0,32.5,10.54,,3.25,13.0
daniel gibson,2006,42,,Texas,College/University,CLE,,,,,,,,,,,,,,
marcus vinicius,2006,43,,Objetivo Sao Carlos (Brazil),Other Team/Club,NOK,,,,,,,,,,,,,,
lior eliyahu,2006,44,,Hapoel Galil Elyon (Israel),Other Team/Club,ORL,,,,,,,,,,,,,,
alexander johnson,2006,45,,Florida State,College/University,IND,,,,,,,,,,,,,,
dee brown,2006,46,,Illinois,College/University,UTA,,,,,,,,,,,,,,
paul millsap,2006,47,PF,Louisiana Tech,College/University,UTA,78.25,79.25,258.0,85.5,105.5,9.7,,,28.5,32.5,11.67,,3.3,15.0
vladimir veremeenko,2006,48,,CB Cornella (Spain),Other Team/Club,WAS,,,,,,,,,,,,,,
leon powe,2006,49,,California,College/University,DEN,,,,,,,,,,,,,,
ryan hollins,2006,50,,California-Los Angeles,College/University,CHA,,,,,,,,,,,,,,
cheikh samb,2006,51,,CB Cornella (Spain),Other Team/Club,LAL,,,,,,,,,,,,,,
guillermo diaz,2006,52,,Miami (FL),College/University,LAC,,,,,,,,,,,,,,
yotam halperin,2006,53,,KK Olimpija (Slovenia),Other Team/Club,SEA,,,,,,,,,,,,,,
hassan adams,2006,54,,Arizona,College/University,NJN,,,,,,,,,,,,,,
ejike ugboaja,2006,55,,Union Bank Lagos B.C. (Nigeria),Other Team/Club,CLE,,,,,,,,,,,,,,
edin bavcic,2006,56,,KK Bosna Royal (Bosnia and Herzegovina),Other Team/Club,TOR,,,,,,,,,,,,,,
loukas mavrokefalidis,2006,57,,P.A.O.K. B.C. (Greece),Other Team/Club,MIN,,,,,,,,,,,,,,
jr pinnock,2006,58,,George Washington,College/University,DAL,,,,,,,,,,,,,,
damir markota,2006,59,,KK Cibona (Croatia),Other Team/Club,SAS,,,,,,,,,,,,,,
will blalock,2006,60,PG,Iowa State,College/University,DET,71.25,72.5,194.0,78.0,96.5,7.2,,,35.0,40.0,11.08,,3.18,8.0
allan ray,2006,999,SG,,,,73.0,74.25,204.0,80.5,99.5,9.8,,,28.5,35.5,11.01,,3.2,9.0
antywane robinson,2006,999,SF-PF,,,,78.25,79.5,217.0,86.5,105.5,6.9,,,29.0,32.5,11.73,,3.4,12.0
blake schilb,2006,999,PG-SG,,,,77.25,78.25,209.0,80.75,102.0,11.3,,,28.5,34.5,11.25,,3.43,13.0
brad buckman,2006,999,PF,,,,79.25,80.75,238.0,84.0,107.5,10.5,,,25.5,30.5,12.26,,3.54,10.0
brandon bowman,2006,999,SF,,,,78.75,80.25,209.0,83.5,103.0,8.4,,,31.0,34.0,11.41,,3.31,24.0
carl krauser,2006,999,PG,,,,71.75,72.75,190.0,78.25,97.0,8.0,,,26.0,31.0,11.62,,3.38,8.0
chris mccray,2006,999,SG,,,,75.0,76.0,187.0,77.75,96.5,9.6,,,30.5,39.0,11.46,,3.34,1.0
chris quinn,2006,999,PG-SG,,,,72.5,73.5,175.0,77.0,94.0,5.9,,,32.0,37.0,11.25,,3.25,7.0
cj watson,2006,999,PG,,,,72.5,73.75,171.0,78.0,96.0,5.2,,,31.5,34.0,11.61,,3.15,12.0
curtis stinson,2006,999,SG,,,,73.75,74.75,208.0,77.0,97.5,6.0,,,28.0,31.5,10.95,,3.27,17.0
curtis withers,2006,999,PF-SF,,,,78.0,78.5,227.0,82.0,101.0,5.0,,,35.0,36.5,11.54,,3.1,14.0
dan grunfeld,2006,999,SF-SG,,,,76.75,78.0,216.0,78.25,99.0,10.4,,,28.0,33.5,11.3,,3.46,16.0
daniel horton,2006,999,PG-SG,,,,72.5,74.25,198.0,79.0,96.5,8.0,,,30.0,36.5,10.35,,3.16,17.0
danilo pinnock,2006,999,PG-SG,,,,74.75,76.0,204.0,79.5,100.5,4.6,,,29.5,35.5,11.91,,3.08,7.0
darius washington,2006,999,PG,,,,71.5,73.0,195.0,76.0,96.0,9.7,,,29.0,37.5,10.71,,3.26,9.0
dwayne mitchell,2006,999,SG-SF,,,,74.0,75.25,208.0,78.5,98.5,4.5,,,37.5,41.5,11.45,,3.16,17.0
eric hicks,2006,999,PF,,,,76.75,77.5,238.0,85.5,105.5,7.1,,,30.0,34.0,12.06,,3.34,20.0
eric williams,2006,999,C-PF,,,,79.25,80.75,285.0,88.25,106.5,13.0,,,28.5,29.0,11.71,,3.56,17.0
frans steyn,2006,999,C,,,,85.25,86.5,280.0,86.25,109.0,12.8,,,28.5,29.5,11.67,,3.38,
gerry mcnamara,2006,999,PG-SG,,,,71.75,72.5,177.0,72.75,92.5,12.8,,,27.0,32.0,11.28,,3.4,3.0
ian vouyoukas,2006,999,C-PF,,,,80.5,81.5,267.0,84.75,108.5,14.8,,,23.0,28.0,13.7,,3.72,8.0
j p batista,2006,999,PF,,,,79.5,80.5,265.0,82.0,103.5,12.0,,,26.0,30.5,11.62,,3.38,26.0
joah tucker,2006,999,SF-SG,,,,75.75,77.25,224.0,78.5,99.5,7.0,,,29.0,34.0,11.58,,3.31,19.0
justin williams,2006,999,C-PF,,,,79.25,80.75,211.0,85.5,109.0,6.5,,,26.5,31.5,11.9,,3.31,7.0
kenny adeleke,2006,999,PF-C,,,,78.5,79.75,250.0,82.25,104.0,10.5,,,28.5,30.5,11.57,,3.47,26.0
keydren clark,2006,999,PG,,,,69.0,70.25,184.0,74.5,92.5,11.6,,,31.0,34.0,11.03,,3.11,13.0
lou amundson,2006,999,PF,,,,79.2,80.0,221.0,83.5,103.5,6.8,,,32.0,35.5,10.58,,3.2,14.0
marco killingsworth,2006,999,PF,,,,77.5,78.75,266.0,87.0,104.0,19.0,,,28.0,32.0,11.42,,3.34,13.0
marcus slaughter,2006,999,PF-SF,,,,79.0,80.0,220.0,83.5,104.5,8.5,,,30.0,34.0,11.56,,3.4,9.0
matt haryasz,2006,999,PF-C,,,,81.75,83.0,219.0,84.25,107.5,9.8,,,27.5,31.5,11.34,,3.46,10.0
michael southhall,2006,999,C,,,,81.5,82.25,241.0,88.25,107.5,7.9,,,31.5,37.0,12.29,,3.51,2.0
morris almond,2006,999,SG-SF,,,,76.75,78.0,214.0,82.0,102.5,6.9,,,31.0,35.5,11.45,,3.19,13.0
nick george,2006,999,SF-SG,,,,76.0,77.75,201.0,82.0,103.0,6.0,,,30.5,38.0,11.69,,3.25,14.0
nik caner medley,2006,999,SF,,,,78.5,80.0,234.0,81.0,103.0,9.6,,,28.5,35.5,10.57,,3.21,17.0
paul miller,2006,999,PF-C,,,,80.5,81.25,251.0,84.0,101.5,13.8,,,29.0,35.5,12.25,,3.66,25.0
pops mensah bonsu,2006,999,PF-C,,,,79.5,81.0,232.0,84.0,105.5,5.8,,,31.5,36.0,11.47,,3.29,19.0
rashad anderson,2006,999,SG,,,,75.25,76.5,224.0,79.0,100.0,17.3,,,27.5,32.5,11.77,,3.48,13.0
sean dockery,2006,999,PG-SG,,,,72.75,74.0,182.0,76.5,95.5,7.3,,,29.0,33.0,10.88,,3.34,4.0
steven smith,2006,999,SF-PF,,,,79.5,81.25,238.0,84.5,104.0,7.8,,,29.5,34.5,12.08,,3.4,15.0
taj gray,2006,999,PF-SF,,,,79.25,80.5,231.0,84.75,107.0,6.8,,,28.5,33.0,11.02,,3.45,10.0
taquan dean,2006,999,SG-PG,,,,74.0,75.0,183.0,78.75,98.0,3.9,,,30.5,34.5,10.53,,3.2,16.0
tarence kinsey,2006,999,SF-SG,,,,76.75,77.5,179.0,78.75,100.5,4.1,,,29.0,35.5,10.67,,3.3,5.0
tedric hill,2006,999,SF-PF,,,,79.75,81.0,236.0,85.0,107.0,7.3,,,30.0,36.5,12.23,,3.24,1.0
terence dials,2006,999,PF-C,,,,79.75,81.0,253.0,84.0,106.0,15.8,,,26.5,30.0,11.54,,3.5,16.0
torin francis,2006,999,PF-C,,,,81.0,82.0,247.0,85.0,105.5,12.4,,,26.5,32.0,11.97,,3.51,9.0
viktor keyru,2006,999,SG-PG,,,,77.25,78.0,202.0,81.25,104.0,5.5,,,29.0,34.5,11.4,,3.24,11.0
yemi nicholson,2006,999,PF-C,,,,79.75,81.5,258.0,88.25,107.0,17.2,,,26.5,26.0,12.57,,3.65,8.0
greg oden,2007,1,C,Ohio State,College/University,POR,83.0,84.0,257.0,88.25,112.0,7.8,,,32.0,34.0,11.67,,3.27,
kevin durant,2007,2,SF-PF,Texas,College/University,SEA,81.0,82.25,215.0,88.75,110.0,6.6,,,26.0,33.5,12.33,,3.45,0.0
al horford,2007,3,PF,Florida,College/University,ATL,80.0,81.75,246.0,84.75,107.0,9.1,,,31.0,35.5,12.15,,3.37,20.0
mike conley,2007,4,PG,Ohio State,College/University,MEM,71.0,72.75,175.0,77.75,94.5,4.2,,,35.5,40.5,11.63,,3.09,13.0
jeff green,2007,5,SF,Georgetown,College/University,BOS,79.0,81.5,228.0,85.25,103.0,3.7,,,33.5,38.0,12.0,,3.34,17.0
yi jianlian,2007,6,,Guangdong Southern Tigers (China),Other Team/Club,MIL,,,,,,,,,,,,,,
corey brewer,2007,7,SF-SG,Florida,College/University,MIN,78.0,79.75,185.0,80.25,103.0,4.2,,,30.5,36.5,11.69,,3.22,11.0
brandan wright,2007,8,PF,North Carolina,College/University,CHA,80.75,82.0,200.0,87.75,108.5,5.8,,,30.5,35.5,11.76,,3.31,2.0
joakim noah,2007,9,PF,Florida,College/University,CHI,82.0,84.0,223.0,85.25,106.5,4.8,,,32.5,37.5,11.79,,3.47,12.0
spencer hawes,2007,10,PF,Washington,College/University,SAC,82.0,84.75,244.0,84.5,110.0,13.0,,,26.0,29.0,11.88,,3.51,9.0
acie law,2007,11,PG,Texas A&M,College/University,ATL,74.0,75.5,186.0,78.5,98.0,5.6,,,29.0,34.0,11.0,,3.22,8.0
thaddeus young,2007,12,SF,Georgia Tech,College/University,PHI,77.75,79.5,210.0,83.5,106.0,4.9,,,34.5,37.0,11.06,,3.19,13.0
julian wright,2007,13,SF-PF,Kansas,College/University,NOH,78.5,80.5,211.0,86.25,108.0,6.1,,,28.5,33.5,11.48,,3.36,2.0
al thornton,2007,14,SF,Florida State,College/University,LAC,77.75,79.0,221.0,85.0,104.0,5.8,,,35.0,41.0,11.96,,3.16,9.0
rodney stuckey,2007,15,SG-PG,Eastern Washington,College/University,DET,75.75,76.5,207.0,79.25,100.5,6.1,,,30.5,35.0,11.34,,3.11,14.0
nick young,2007,16,SG-SF,Southern California,College/University,WAS,77.0,78.75,206.0,84.0,100.5,6.8,,,39.5,40.5,11.0,,3.25,6.0
sean williams,2007,17,,Boston College,College/University,NJN,,,,,,,,,,,,,,
marco belinelli,2007,18,,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,GSW,,,,,,,,,,,,,,
javaris crittenton,2007,19,PG,Georgia Tech,College/University,LAL,75.0,76.75,194.0,77.5,98.0,4.5,,,32.5,38.0,11.6,,3.32,11.0
jason smith,2007,20,PF,Colorado State,College/University,MIA,82.75,83.5,233.0,82.75,106.0,7.5,,,33.5,37.5,10.96,,3.29,15.0
daequan cook,2007,21,SG,Ohio State,College/University,PHI,75.0,77.75,203.0,80.25,101.5,7.0,,,30.0,34.5,11.12,,3.22,4.0
jared dudley,2007,22,SF,Boston College,College/University,CHA,77.0,79.25,219.0,79.0,102.0,7.1,,,28.0,32.0,11.32,,3.45,14.0
wilson chandler,2007,23,,DePaul,College/University,NYK,,,,,,,,,,,,,,
rudy fernandez,2007,24,,Joventut Badalona (Spain),Other Team/Club,PHX,,,,,,,,,,,,,,
morris almond,2007,25,,Rice,College/University,UTA,,,,,,,,,,,,,,
aaron brooks,2007,26,PG,Oregon,College/University,HOU,70.0,71.75,161.0,76.0,94.0,2.7,,,32.5,39.5,10.57,,3.2,6.0
arron afflalo,2007,27,,California-Los Angeles,College/University,DET,,,,,,,,,,,,,,
tiago splitter,2007,28,,Saski Baskonia (Spain),Other Team/Club,SAS,,,,,,,,,,,,,,
alando tucker,2007,29,,Wisconsin,College/University,PHX,,,,,,,,,,,,,,
petteri koponen,2007,30,,Espoon Honka (Finland),Other Team/Club,PHI,,,,,,,,,,,,,,
carl landry,2007,31,PF,Purdue,College/University,SEA,79.0,80.5,248.0,83.0,102.5,7.5,,,31.5,36.5,11.35,,3.29,21.0
gabe pruitt,2007,32,,Southern California,College/University,BOS,,,,,,,,,,,,,,
marcus williams,2007,33,,Arizona,College/University,SAS,,,,,,,,,,,,,,
nick fazekas,2007,34,,Nevada-Reno,College/University,DAL,,,,,,,,,,,,,,
glen davis,2007,35,,Louisiana State,College/University,SEA,,,,,,,,,,,,,,
jermareo davidson,2007,36,PF,Alabama,College/University,GSW,81.0,83.0,230.0,88.0,109.5,6.9,,,27.0,30.0,12.63,,3.53,7.0
josh mcroberts,2007,37,PF,Duke,College/University,POR,80.0,82.0,240.0,85.0,106.5,13.7,,,27.5,31.5,11.7,,3.47,12.0
kyrylo fesenko,2007,38,,Cherkaski Mavpy (Ukraine),Other Team/Club,PHI,,,,,,,,,,,,,,
stanko barac,2007,39,,HKK Siroki (Bosnia and Herzegovina),Other Team/Club,MIA,,,,,,,,,,,,,,
sun sun,2007,40,SF,Beijing Olympians (China),Other Team/Club,LAL,79.75,80.75,212.0,81.0,105.0,5.1,,,29.0,34.0,10.68,,3.45,9.0
chris richard,2007,41,PF,Florida,College/University,MIN,79.0,80.75,252.0,88.5,110.5,7.5,,,26.5,30.5,11.39,,3.29,15.0
derrick byars,2007,42,,Vanderbilt,College/University,POR,,,,,,,,,,,,,,
adam haluska,2007,43,,Iowa,College/University,NOH,,,,,,,,,,,,,,
reyshawn terry,2007,44,SF,North Carolina,College/University,ORL,78.75,79.5,222.0,82.0,103.5,8.9,,,31.0,37.5,11.76,,3.26,18.0
jared jordan,2007,45,PG,Marist,College/University,LAC,72.0,73.75,183.0,72.0,94.0,7.0,,,24.5,28.5,11.02,,3.39,6.0
stephane lasme,2007,46,PF,Massachusetts,College/University,GSW,77.0,79.0,213.0,86.0,107.0,4.9,,,29.5,36.0,11.73,,3.22,17.0
dominic mcguire,2007,47,SF,Fresno State,College/University,WAS,79.0,80.25,220.0,82.5,104.0,4.7,,,28.5,34.5,10.95,,3.25,12.0
marc gasol,2007,48,,CB Sant Josep (Spain),Other Team/Club,LAL,,,,,,,,,,,,,,
aaron gray,2007,49,C,Pittsburgh,College/University,CHI,84.0,85.75,271.0,87.25,108.5,10.8,,,27.0,32.5,12.07,,3.7,17.0
renaldas seibutis,2007,50,SG,Maroussi B.C. (Greece),Other Team/Club,DAL,76.0,77.75,185.0,80.75,101.0,6.1,,,24.0,32.5,11.33,,3.39,1.0
jameson curry,2007,51,,Oklahoma State,College/University,CHI,,,,,,,,,,,,,,
taurean green,2007,52,PG,Florida,College/University,POR,71.0,72.75,173.0,74.25,96.0,4.6,,,29.0,32.5,11.3,,3.26,8.0
demetris nichols,2007,53,SF,Syracuse,College/University,POR,78.0,79.5,211.0,84.25,105.0,6.2,,,28.5,32.5,10.39,,3.38,16.0
brad newley,2007,54,SG,Townsville Crocodiles (Australia),Other Team/Club,HOU,77.0,78.5,201.0,80.0,102.5,8.0,,,29.5,31.5,11.77,,3.29,3.0
herbert hill,2007,55,C,Providence,College/University,UTA,79.0,81.75,232.0,86.25,108.5,5.6,,,30.5,34.0,12.31,,3.39,15.0
ramon sessions,2007,56,PG,Nevada-Reno,College/University,MIL,74.0,75.75,185.0,76.25,97.5,6.2,,,29.5,33.5,11.65,,3.27,8.0
sammy mejia,2007,57,SG,DePaul,College/University,DET,77.0,79.0,218.0,83.0,105.0,8.3,,,27.0,31.5,11.87,,3.49,7.0
giorgos printezis,2007,58,,Olympiacos B.C. (Greece),Other Team/Club,SAS,,,,,,,,,,,,,,
dj strawberry,2007,59,SG,Maryland,College/University,PHX,75.75,77.0,199.0,78.5,101.0,4.5,,,28.5,35.0,10.87,,3.14,21.0
milovan rakovic,2007,60,,KK Mega Leks (Serbia),Other Team/Club,DAL,,,,,,,,,,,,,,
ali traore,2007,999,C-PF,,,,80.75,81.75,249.0,88.0,108.5,12.1,,,25.0,29.0,12.16,,3.52,11.0
antanas kavaliauskas,2007,999,PF,,,,81.0,82.5,237.0,82.5,106.5,7.7,,,25.5,30.0,11.19,,3.42,19.0
anthony tolliver,2007,999,PF,,,,79.0,80.5,242.0,86.5,107.5,5.7,,,28.5,30.0,11.49,,3.29,21.0
avis wyatt,2007,999,PF,,,,80.75,81.5,212.0,85.0,107.0,3.3,,,27.5,32.0,11.46,,3.23,12.0
blake schilb,2007,999,SG,,,,77.0,79.0,214.0,81.0,102.5,10.0,,,26.5,33.5,11.63,,3.36,11.0
bobby brown,2007,999,PG,,,,71.0,73.75,170.0,76.0,95.5,6.6,,,32.5,41.0,11.27,,3.25,3.0
brandon heath,2007,999,PG,,,,74.0,75.75,181.0,79.0,94.0,9.0,,,32.0,36.0,11.39,,3.28,11.0
caleb green,2007,999,PF,,,,78.0,80.0,238.0,83.75,103.0,10.9,,,28.5,36.0,11.72,,3.46,9.0
cartier martin,2007,999,SF,,,,76.0,78.5,218.0,82.0,103.5,5.6,,,27.0,29.5,12.1,,3.43,11.0
coby karl,2007,999,SG-PG,,,,75.0,76.75,204.0,83.0,99.5,5.4,,,32.0,34.5,11.57,,3.41,9.0
coleman collins,2007,999,PF,,,,80.0,81.75,236.0,86.0,107.0,6.2,,,30.0,35.0,11.47,,,21.0
craig bradshaw,2007,999,PF,,,,80.0,81.75,240.0,85.5,106.5,12.1,,,26.0,28.0,11.88,,3.54,12.0
curtis sumpter,2007,999,SF,,,,78.0,79.75,227.0,81.5,104.0,5.3,,,27.5,32.5,11.3,,3.22,12.0
darryl watkins,2007,999,C,,,,80.75,82.25,241.0,87.0,110.0,6.9,,,26.5,31.0,11.65,,3.56,14.0
dashaun wood,2007,999,PG,,,,70.75,71.5,167.0,72.75,92.0,5.4,,,31.5,34.5,11.4,,3.23,13.0
dominic james,2007,999,PG,,,,70.0,71.75,175.0,74.0,93.0,4.8,,,33.5,38.5,10.94,,3.11,14.0
dustin salisbery,2007,999,SG,,,,75.0,76.75,208.0,80.0,100.5,6.6,,,34.0,38.0,11.07,,3.12,11.0
ekene ibekwe,2007,999,PF,,,,80.0,81.0,208.0,90.0,104.0,3.2,,,34.5,39.0,11.0,,3.28,10.0
ivan radenovic,2007,999,PF,,,,81.0,82.75,226.0,83.75,106.0,9.8,,,23.0,28.0,11.61,,3.6,7.0
jamaal tatum,2007,999,PG,,,,71.5,72.75,168.0,74.5,93.5,5.0,,,28.5,33.0,11.51,,3.22,7.0
james hughes,2007,999,C,,,,81.0,82.75,209.0,87.0,111.0,3.5,,,31.0,33.0,13.31,,3.37,8.0
jeremy hunt,2007,999,SG,,,,74.0,76.75,198.0,80.25,101.5,5.2,,,30.5,33.0,12.11,,3.29,10.0
jr reynolds,2007,999,PG,,,,72.0,74.75,188.0,75.25,95.0,8.2,,,27.5,34.5,11.69,,3.24,15.0
justin doellman,2007,999,PF,,,,80.0,81.5,205.0,80.75,105.0,7.0,,,,,,,,19.0
kyle visser,2007,999,C,,,,82.0,83.5,242.0,83.0,108.0,10.2,,,26.0,29.0,12.6,,3.39,18.0
major wingate,2007,999,C,,,,80.5,82.75,242.0,88.0,109.0,6.7,,,27.5,30.5,12.14,,3.47,15.0
mario boggan,2007,999,PF,,,,77.0,79.0,240.0,86.0,107.0,9.2,,,24.0,26.5,12.18,,3.45,12.0
marko lekic,2007,999,C,,,,81.0,82.5,267.0,85.0,108.5,11.4,,,24.0,30.5,11.96,,3.43,19.0
mohamed abukar,2007,999,SF,,,,80.0,81.75,210.0,81.0,103.0,8.9,,,30.5,35.0,11.78,,3.37,15.0
mustafa shakur,2007,999,PG,,,,75.0,76.5,185.0,77.5,99.0,4.1,,,28.5,35.0,11.82,,3.27,11.0
quinton hosley,2007,999,SF-SG,,,,77.0,79.75,215.0,83.25,105.0,5.7,,,28.5,34.0,12.47,,3.32,12.0
rashad jones jennings,2007,999,PF,,,,78.0,79.5,235.0,84.0,105.5,5.9,,,25.0,30.0,12.18,,3.29,20.0
rashaun freeman,2007,999,PF,,,,78.0,80.0,244.0,83.5,104.0,11.5,,,28.0,32.0,11.43,,3.41,20.0
ron lewis,2007,999,SG,,,,74.0,76.5,194.0,78.5,99.0,4.5,,,33.0,38.0,11.59,,3.22,16.0
russell carter,2007,999,SG,,,,75.0,76.5,221.0,80.5,97.5,6.0,,,33.0,38.5,11.61,,3.29,25.0
ryvon covile,2007,999,C-PF,,,,79.0,80.5,250.0,85.25,107.5,8.0,,,25.0,30.5,12.52,,3.37,19.0
trey johnson,2007,999,SG,,,,75.0,77.75,216.0,77.0,98.0,5.4,,,26.5,35.0,11.78,,3.31,18.0
zabian dowdell,2007,999,PG,,,,73.0,75.0,191.0,82.0,100.0,5.1,,,30.0,33.5,11.13,,3.29,3.0
derrick rose,2008,1,PG,Memphis,College/University,CHI,73.5,74.5,196.0,80.0,98.5,4.6,,,34.5,40.0,11.69,,3.05,10.0
michael beasley,2008,2,PF-SF,Kansas State,College/University,MIA,79.0,80.25,239.0,84.25,107.0,7.7,,,30.0,35.0,11.06,,3.24,19.0
o j mayo,2008,3,SG-PG,Southern California,College/University,MIN,75.25,76.25,200.0,78.0,99.5,6.3,,,30.5,41.0,11.04,,3.14,7.0
russell westbrook,2008,4,PG,California-Los Angeles,College/University,OKC,74.25,75.5,192.0,79.75,100.0,4.8,,,30.0,36.5,10.98,,3.08,12.0
kevin love,2008,5,PF,California-Los Angeles,College/University,MEM,79.75,81.5,255.0,83.25,106.0,12.9,,,29.5,35.0,11.17,,3.22,18.0
danilo gallinari,2008,6,,Olimpia Milano (Italy),Other Team/Club,NYK,,,,,,,,,,,,,,
eric gordon,2008,7,SG,Indiana,College/University,LAC,74.0,75.25,222.0,81.0,99.0,8.2,,,32.0,40.0,10.81,,3.01,15.0
joe alexander,2008,8,SF-PF,West Virginia,College/University,MIL,79.25,80.25,220.0,83.5,106.0,5.8,,,32.5,38.5,11.33,,2.99,24.0
d j augustin,2008,9,PG,Texas,College/University,CHA,70.0,71.5,171.5,75.5,94.5,8.1,,,28.5,35.0,11.27,,3.07,2.0
brook lopez,2008,10,C,Stanford,College/University,NJN,83.25,84.5,258.0,89.5,113.0,6.3,,,27.5,30.5,12.77,,3.57,7.0
jerryd bayless,2008,11,PG-SG,Arizona,College/University,IND,73.75,75.0,204.0,75.5,97.0,4.7,,,31.0,38.0,11.26,,3.07,10.0
jason thompson,2008,12,,Rider,College/University,SAC,,,,,,,,,,,,,,
brandon rush,2008,13,,Kansas,College/University,POR,,,,,,,,,,,,,,
anthony randolph,2008,14,PF-SF,Louisiana State,College/University,GSW,81.0,82.25,197.0,87.0,109.0,4.7,,,29.0,35.0,11.86,,3.26,7.0
robin lopez,2008,15,,Stanford,College/University,PHX,,,,,,,,,,,,,,
marreese speights,2008,16,,Florida,College/University,PHI,,,,,,,,,,,,,,
roy hibbert,2008,17,,Georgetown,College/University,TOR,,,,,,,,,,,,,,
javale mcgee,2008,18,C-PF,Nevada-Reno,College/University,WAS,83.0,84.0,241.0,90.0,114.5,5.3,,,27.0,32.5,12.75,,3.25,7.0
jj hickson,2008,19,,North Carolina State,College/University,CLE,,,,,,,,,,,,,,
alexis ajinca,2008,20,,Hyeres-Toulon Var Basket (France),Other Team/Club,CHA,,,,,,,,,,,,,,
ryan anderson,2008,21,,California,College/University,NJN,,,,,,,,,,,,,,
courtney lee,2008,22,,Western Kentucky,College/University,ORL,,,,,,,,,,,,,,
kosta koufos,2008,23,,Ohio State,College/University,UTA,,,,,,,,,,,,,,
serge ibaka,2008,24,,CB L'Hospitalet (Spain),Other Team/Club,OKC,,,,,,,,,,,,,,
nicolas batum,2008,25,,Le Mans Sarthe Basket (France),Other Team/Club,HOU,,,,,,,,,,,,,,
george hill,2008,26,PG,IUPUI,College/University,SAS,73.25,74.5,181.0,81.0,97.5,3.0,,,34.0,37.5,12.2,,3.07,9.0
darrell arthur,2008,27,PF,Kansas,College/University,NOH,79.5,80.5,216.0,82.75,107.0,7.3,,,28.5,30.0,12.18,,3.14,12.0
donte greene,2008,28,SF-PF,Syracuse,College/University,MEM,80.25,81.0,221.0,82.0,108.0,7.6,,,27.5,31.5,11.21,,3.2,2.0
dj white,2008,29,,Indiana,College/University,DET,,,,,,,,,,,,,,
j r giddens,2008,30,SG,New Mexico,College/University,BOS,76.0,76.75,208.0,83.25,103.0,5.4,,,,,,,,10.0
nikola pekovic,2008,31,,KK Partizan (Serbia),Other Team/Club,MIN,,,,,,,,,,,,,,
