name,draft_year,sportsref_player_raw,sportsref_url,sportsref_match_method,sportsref_match_score,sportsref_school,sportsref_conf,sportsref_season,sportsref_games,sportsref_games_started,sportsref_mpg,sportsref_ppg,sportsref_rpg,sportsref_apg,sportsref_spg,sportsref_bpg,sportsref_tpg,sportsref_fg_pct,sportsref_two_pct,sportsref_three_pct,sportsref_ft_pct
marcus douthit,2004,marcus douthit,https://www.sports-reference.com/cbb/players/marcus-douthit-1.html,slug_search,100.0,Providence,Big East,2003-04,29.0,29.0,29.7,7.8,5.9,2.2,1.6,3.2,2.6,0.446,0.446,,0.768
matt freije,2004,matt freije,https://www.sports-reference.com/cbb/players/matt-freije-1.html,slug_search,100.0,Vanderbilt,SEC,2003-04,33.0,33.0,29.8,18.4,5.4,0.9,0.7,0.6,1.0,0.415,0.452,0.356,0.788
pape sow,2004,pape sow,https://www.sports-reference.com/cbb/players/pape-sow-1.html,slug_search,100.0,Cal St Fullerton,Big West,2003-04,28.0,28.0,32.2,17.3,9.7,0.9,1.6,0.6,3.0,0.494,0.507,0.333,0.675
rafael araujo,2004,rafael araujo,https://www.sports-reference.com/cbb/players/rafael-araujo-1.html,slug_search,100.0,BYU,MWC,2003-04,30.0,30.0,29.8,18.4,10.1,1.2,1.4,0.8,2.9,0.573,0.601,0.267,0.722
rashad wright,2004,rashad wright,https://www.sports-reference.com/cbb/players/rashad-wright-1.html,slug_search,100.0,Georgia,SEC,2003-04,29.0,29.0,37.1,14.4,2.9,3.0,1.8,0.4,2.2,0.424,0.456,0.396,0.683
rickey paulding,2004,rickey paulding,https://www.sports-reference.com/cbb/players/rickey-paulding-1.html,slug_search,100.0,Missouri,Big 12,2003-04,30.0,30.0,35.0,15.1,4.3,2.8,1.0,0.4,2.6,0.397,0.439,0.342,0.787
ricky minard,2004,ricky minard,https://www.sports-reference.com/cbb/players/ricky-minard-1.html,slug_search,100.0,Morehead St.,OVC,2003-04,29.0,28.0,34.3,21.8,7.3,5.1,2.1,0.5,3.7,0.451,0.503,0.326,0.776
romain sato,2004,romain sato,https://www.sports-reference.com/cbb/players/romain-sato-1.html,slug_search,100.0,Xavier,A-10,2003-04,37.0,37.0,36.9,16.3,8.0,2.3,1.3,0.1,1.7,0.404,0.456,0.349,0.829
royal ivey,2004,royal ivey,https://www.sports-reference.com/cbb/players/royal-ivey-1.html,slug_search,100.0,Texas,Big 12,2003-04,33.0,33.0,29.7,9.4,4.0,4.3,1.2,0.2,1.5,0.448,0.456,0.387,0.626
tim pickett,2004,tim pickett,https://www.sports-reference.com/cbb/players/tim-pickett-1.html,slug_search,100.0,Florida St.,ACC,2003-04,33.0,33.0,29.8,16.5,4.5,2.1,2.5,0.4,2.4,0.434,0.481,0.407,0.759
tony allen,2004,tony allen,https://www.sports-reference.com/cbb/players/tony-allen-1.html,slug_search,100.0,Oklahoma St.,Big 12,2003-04,35.0,34.0,31.6,16.0,5.5,3.1,2.1,0.9,2.8,0.504,0.55,0.297,0.675
trevor ariza,2004,trevor ariza,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,slug_search,100.0,UCLA,Pac-10,2003-04,25.0,23.0,31.6,11.6,6.5,2.1,1.7,0.4,3.2,0.426,0.509,0.237,0.504
alex acker,2005,alex acker,https://www.sports-reference.com/cbb/players/alex-acker-1.html,slug_search,100.0,Pepperdine,WCC,2004-05,31.0,31.0,37.2,16.6,6.5,3.7,1.3,0.5,2.6,0.45,0.459,0.431,0.858
andrew bogut,2005,andrew bogut,https://www.sports-reference.com/cbb/players/andrew-bogut-1.html,slug_search,100.0,Utah,MWC,2004-05,35.0,35.0,35.0,20.4,12.2,2.3,1.0,1.9,2.7,0.62,0.636,0.36,0.692
antoine wright,2005,antoine wright,https://www.sports-reference.com/cbb/players/antoine-wright-1.html,slug_search,100.0,Texas A&M,Big 12,2004-05,31.0,30.0,33.9,17.8,6.0,2.2,1.2,0.7,2.4,0.501,0.54,0.447,0.691
bracey wright,2005,bracey wright,https://www.sports-reference.com/cbb/players/bracey-wright-1.html,slug_search,100.0,Indiana,Big Ten,2004-05,26.0,26.0,35.3,18.3,4.8,2.7,1.1,0.6,2.6,0.413,0.474,0.329,0.783
brandon bass,2005,brandon bass,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,slug_search,100.0,LSU,SEC,2004-05,30.0,29.0,33.6,17.3,9.1,0.8,0.8,1.6,1.8,0.567,0.577,0.462,0.777
channing frye,2005,channing frye,https://www.sports-reference.com/cbb/players/channing-frye-1.html,slug_search,100.0,Arizona,Pac-10,2004-05,37.0,37.0,31.0,15.8,7.6,1.9,0.9,2.3,1.7,0.554,0.57,0.176,0.83
charlie villanueva,2005,charlie villanueva,https://www.sports-reference.com/cbb/players/charlie-villanueva-1.html,slug_search,100.0,UConn,Big East,2004-05,31.0,31.0,25.7,13.6,8.3,1.3,0.6,1.8,2.3,0.521,0.522,0.5,0.688
chris paul,2005,chris paul,https://www.sports-reference.com/cbb/players/chris-paul-1.html,slug_search,100.0,Wake Forest,ACC,2004-05,32.0,31.0,33.4,15.3,4.5,6.6,2.4,0.0,2.8,0.451,0.441,0.474,0.834
chris taft,2005,chris taft,https://www.sports-reference.com/cbb/players/chris-taft-1.html,slug_search,100.0,Pitt,Big East,2004-05,29.0,29.0,26.5,13.3,7.5,0.8,0.4,1.7,1.6,0.58,0.58,,0.586
daniel ewing,2005,daniel ewing,https://www.sports-reference.com/cbb/players/daniel-ewing-1.html,slug_search,100.0,Duke,ACC,2004-05,33.0,32.0,34.5,15.3,3.2,4.0,2.0,0.4,3.0,0.427,0.498,0.347,0.692
danny granger,2005,danny granger,https://www.sports-reference.com/cbb/players/danny-granger-1.html,slug_search,100.0,New Mexico,MWC,2004-05,30.0,30.0,30.0,18.8,8.9,2.4,2.1,2.0,2.4,0.524,0.563,0.433,0.755
david lee,2005,david lee,https://www.sports-reference.com/cbb/players/david-lee-1.html,slug_search,100.0,Florida,SEC,2004-05,32.0,30.0,28.0,13.6,9.0,2.2,1.1,0.8,2.7,0.525,0.532,0.0,0.714
deron williams,2005,deron williams,https://www.sports-reference.com/cbb/players/deron-williams-1.html,slug_search,100.0,Illinois,Big Ten,2004-05,39.0,39.0,33.7,12.5,3.6,6.8,1.0,0.2,2.8,0.433,0.491,0.364,0.677
dijon thompson,2005,dijon thompson,https://www.sports-reference.com/cbb/players/dijon-thompson-1.html,slug_search,100.0,UCLA,Pac-10,2004-05,28.0,27.0,34.6,18.4,7.9,2.3,1.5,0.3,3.3,0.474,0.517,0.374,0.787
francisco garcia,2005,francisco garcia,https://www.sports-reference.com/cbb/players/francisco-garcia-1.html,slug_search,100.0,Louisville,CUSA,2004-05,38.0,38.0,31.9,15.7,4.2,3.9,1.7,1.5,2.7,0.437,0.496,0.366,0.877
hakim warrick,2005,hakim warrick,https://www.sports-reference.com/cbb/players/hakim-warrick-1.html,slug_search,100.0,Syracuse,Big East,2004-05,34.0,34.0,37.5,21.4,8.6,1.5,1.0,0.8,2.5,0.548,0.566,0.29,0.681
ike diogu,2005,ike diogu,https://www.sports-reference.com/cbb/players/ike-diogu-1.html,slug_search,100.0,Arizona St.,Pac-10,2004-05,32.0,32.0,36.4,22.6,9.8,1.3,0.6,2.3,3.6,0.575,0.598,0.4,0.797
jarrett jack,2005,jarrett jack,https://www.sports-reference.com/cbb/players/jarrett-jack-1.html,slug_search,100.0,Ga Tech,ACC,2004-05,32.0,31.0,34.1,15.5,4.8,4.5,1.8,0.1,3.4,0.514,0.549,0.442,0.866
jason maxiell,2005,jason maxiell,https://www.sports-reference.com/cbb/players/jason-maxiell-1.html,slug_search,100.0,Cincinnati,CUSA,2004-05,33.0,33.0,31.4,15.3,7.7,0.8,1.0,2.7,1.9,0.543,0.545,0.4,0.645
joey graham,2005,joey graham,https://www.sports-reference.com/cbb/players/joey-graham-1.html,slug_search,100.0,Oklahoma St.,Big 12,2004-05,33.0,33.0,30.6,17.7,6.2,2.0,0.9,0.2,2.7,0.529,0.538,0.473,0.887
julius hodge,2005,julius hodge,https://www.sports-reference.com/cbb/players/julius-hodge-1.html,slug_search,100.0,NC State,ACC,2004-05,34.0,32.0,34.6,17.0,6.6,4.8,1.4,0.7,2.6,0.493,0.53,0.255,0.668
lawrence roberts,2005,lawrence roberts,https://www.sports-reference.com/cbb/players/lawrence-roberts-1.html,slug_search,100.0,Miss. St.,SEC,2004-05,32.0,32.0,32.0,16.9,11.0,1.9,1.6,0.8,2.7,0.448,0.466,0.293,0.653
linas kleiza,2005,linas kleiza,https://www.sports-reference.com/cbb/players/linas-kleiza-1.html,slug_search,100.0,Missouri,Big 12,2004-05,33.0,28.0,31.5,16.1,7.6,1.6,0.6,0.3,2.7,0.403,0.453,0.274,0.732
luther head,2005,luther head,https://www.sports-reference.com/cbb/players/luther-head-1.html,slug_search,100.0,Illinois,Big Ten,2004-05,39.0,39.0,33.3,15.9,4.0,3.8,1.7,0.2,1.8,0.463,0.547,0.41,0.788
marvin williams,2005,marvin williams,https://www.sports-reference.com/cbb/players/marvin-williams-1.html,slug_search,100.0,UNC,ACC,2004-05,36.0,0.0,22.2,11.3,6.6,0.7,1.1,0.5,1.6,0.506,0.522,0.432,0.847
nate robinson,2005,nate robinson,https://www.sports-reference.com/cbb/players/nate-robinson-1.html,slug_search,100.0,Washington,Pac-10,2004-05,35.0,35.0,31.5,16.4,3.9,4.3,1.7,0.2,2.0,0.463,0.514,0.385,0.782
orien greene,2005,orien greene,https://www.sports-reference.com/cbb/players/orien-greene-1.html,slug_search,100.0,Louisiana,Sun Belt,2004-05,24.0,23.0,33.0,11.7,4.7,4.1,2.8,0.3,3.5,0.388,0.443,0.321,0.756
